,answer
537,188
538,18
539,35
540,39
541,50
542,7
543,6
544,80
545,30
546,130
547,81
548,100
549,398
550,27
551,17
552,450
553,92
554,54
555,2
556,160
557,70
558,3
559,16
560,45
561,180
562,82
563,12
564,240
565,5
566,10
567,9
568,175
569,21
570,23
571,308
572,100
573,600
574,37
575,36
576,11232
577,40
578,48
579,7
580,500
581,215
582,129200
583,120
584,2
585,40
586,800
587,30
588,52
589,15
590,319
591,220
592,1
593,3
594,42
595,13
596,260
597,90
598,69
599,48
600,10
601,104
602,5
603,1800
604,12
605,42
606,6
607,10
608,8
609,7
610,65
611,1
612,30
613,93000
614,312
615,33
616,10
617,5
618,36
619,76
620,1509
621,3000
622,7
623,8
624,85
625,160
626,72
627,54
628,4
629,17500
630,10
631,4800
632,45
633,5
634,14
635,4
636,1050
637,17
638,12
639,216
640,43
641,262500
642,10
643,840
644,29
645,48
646,79
647,10
648,54
649,162000
650,142
651,2100
652,75
653,80
654,2
655,10
656,10
657,330000
658,120
659,3
660,15
661,44
662,7
663,193
664,32
665,360
666,120
667,53
668,3
669,132
670,4
671,4
672,2
673,9
674,12
675,33
676,240
677,36
678,120
679,576
680,20
681,298
682,80
683,50
684,11
685,14
686,80
687,13
688,100
689,7
690,5760
691,25
692,32
693,68
694,9
695,5
696,145
697,27
698,720
699,8
700,135
701,200
702,2800
703,50
704,50
705,120
706,9
707,8
708,168
709,3000
710,45
711,6
712,14
713,576
714,10
715,385000
716,770
717,5
718,2
719,175
720,4
721,2450
722,255
723,160
724,18
725,25
726,10
727,112
728,40
729,1000
730,8
731,1
732,87
733,5
734,17
735,50
736,3
737,2
738,4
739,98
740,25
741,28
742,24
743,8
744,4
745,1100
746,28
747,350
748,336
749,3
750,4000
751,43
752,240
753,128
754,89
755,7
756,22
757,75
758,133
759,60000
760,16
761,27
762,85
763,100
764,14
765,490
766,12
767,60
768,675
769,110
770,4
771,3
772,50
773,10
774,10
775,276
776,800
777,4400
778,38
779,255
780,25
781,17
782,54
783,4
784,15
785,155
786,142
787,25
788,100
789,4
790,108
791,100
792,75
793,250
794,32
795,20
796,2880000
797,540
798,20
799,4
800,428
801,1240
802,6
803,9
804,20
805,1170
806,70
807,4
808,12
809,50
810,310
811,60
812,79
813,7
814,11
815,4
816,4500
817,15
818,16
819,6
820,720
821,35
822,1260
823,14
824,52
825,153
826,27
827,11
828,60
829,14
830,1128
831,324
832,42
833,40
834,80
835,48
836,140
837,120
838,15
839,2
840,16
841,5600
842,10
843,19
844,180
845,12
846,11
847,975
848,10
849,75
850,70
851,110
852,123
853,15
854,144
855,13
856,7
857,14000
858,3430
859,1520
860,3
861,30
862,40
863,110
864,80
865,23
866,28
867,7
868,15
869,500
870,40
871,48
872,13
873,12
874,132
875,60
876,41
877,7000
878,5
879,575
880,10
881,16
882,5
883,25
884,50
885,500
886,20
887,34
888,10
889,15
890,25
891,55
892,1
893,480
894,26
895,74
896,250
897,1
898,110
899,16
900,15
901,1
902,8
903,16
904,8
905,5
906,10
907,16
908,14
909,38
910,700
911,64
912,6
913,6
914,3
915,23
916,14
917,12
918,56
919,90
920,47
921,4
922,60
923,2
924,12
925,2000
926,1
927,85000
928,60
929,60
930,14
931,50
932,24
933,15
934,410
935,64800
936,250
937,159
938,4
939,650
940,280
941,842
942,205
943,50
944,34
945,17
946,450
947,13
948,15
949,42
950,5
951,300
952,360
953,452
954,34
955,100
956,1
957,45
958,40
959,7
960,11
961,225
962,1000
963,147
964,200
965,374
966,48
967,30
968,227
969,1800
970,33
971,100
972,120
973,79
974,5
975,20
976,540
977,4
978,160
979,50
980,90
981,7
982,12
983,15
984,342
985,63
986,70
987,3
988,6
989,45
990,14
991,15
992,52
993,11
994,2
995,12
996,3
997,6
998,50
999,25
1000,1
1001,2
1002,8
1003,480
1004,8
1005,1490
1006,826
1007,34
1008,230
1009,1
1010,5
1011,6000
1012,94
1013,2
1014,3
1015,78
1016,138
1017,45
1018,60
1019,98
1020,22
1021,36
1022,12
1023,77
1024,300
1025,30
1026,43200
1027,12
1028,200
1029,34
1030,24
1031,5
1032,450
1033,2
1034,66
1035,35
1036,10
1037,10
1038,4
1039,160
1040,736
1041,101
1042,3
1043,130000
1044,1
1045,420
1046,189
1047,10
1048,7400
1049,20
1050,655
1051,15
1052,110
1053,55
1054,2400
1055,2304
1056,156
1057,24
1058,250
1059,2
1060,31
1061,58
1062,482
1063,320
1064,247
1065,95
1066,14
1067,245
1068,24
1069,300
1070,18
1071,251
1072,85
1073,21
1074,750
1075,16
1076,162
1077,145
1078,8
1079,10
1080,72000
1081,195
1082,2
1083,2
1084,20
1085,26
1086,131250
1087,12
1088,30
1089,32
1090,72
1091,1000
1092,1080
1093,144
1094,25
1095,270
1096,240
1097,480
1098,30
1099,2
1100,5
1101,16
1102,113
1103,90
1104,24
1105,40
1106,5
1107,360
1108,38
1109,3
1110,60
1111,157
1112,5
1113,
1114,8
1115,5
1116,60
1117,9
1118,5
1119,18
1120,560
1121,35
1122,18
1123,105
1124,64
1125,90
1126,50
1127,750
1128,9
1129,8
1130,25
1131,96
1132,45000
1133,50
1134,7
1135,32
1136,26
1137,68
1138,700
1139,1
1140,27
1141,20
1142,9
1143,300
1144,34
1145,291
1146,16
1147,22
1148,9
1149,93
1150,21
1151,50
1152,12
1153,20
1154,30
1155,13
1156,120
1157,3
1158,7300
1159,50
1160,1125
1161,170
1162,3
1163,12
1164,9
1165,1248
1166,2350
1167,120
1168,20
1169,2
1170,2
1171,3160
1172,93
1173,10
1174,240
1175,16
1176,2
1177,17
1178,17
1179,50
1180,5600
1181,20
1182,1800
1183,11
1184,306
1185,6
1186,19
1187,5
1188,24
1189,6
1190,19
1191,100
1192,280
1193,9
1194,1200
1195,320
1196,75
1197,2400
1198,140
1199,2
1200,8
1201,42
1202,19
1203,240
1204,168
1205,4
1206,40
1207,64
1208,27
1209,29
1210,288
1211,448
1212,150
1213,31
1214,5
1215,36
1216,20
1217,75
1218,225
1219,100
1220,32
1221,10
1222,350
1223,8
1224,5
1225,3
1226,90
1227,66
1228,31
1229,36
1230,440
1231,70
1232,15
1233,81
1234,12
1235,60
1236,84
1237,78
1238,520
1239,50
1240,2
1241,8
1242,20
1243,50
1244,35
1245,96
1246,3360
1247,7
1248,750
1249,56
1250,22
1251,30
1252,70
1253,120
1254,30
1255,12
1256,15
1257,14
1258,60
1259,7200
1260,5
1261,235
1262,12
1263,500
1264,210
1265,36
1266,147
1267,40
1268,20
1269,54
1270,3528
1271,43
1272,296
1273,27
1274,38
1275,16
1276,70
1277,48
1278,665
1279,180
1280,7
1281,20
1282,12
1283,60
1284,25
1285,1218
1286,105
1287,84
1288,34
1289,101
1290,90
1291,27
1292,67
1293,140000
1294,36
1295,2
1296,335
1297,60
1298,31
1299,13
1300,120
1301,23
1302,72
1303,4
1304,1000
1305,2325
1306,2
1307,8
1308,30
1309,2280
1310,64
1311,594
1312,180
1313,2
1314,8
1315,5
1316,230
1317,5
1318,14
